change_type,file_name,repository_relative_path,relative_directory,absolute_directory_path,absolute_file_path,first_commit_since_2026_08_10,first_commit_date,last_commit_since_2026_08_10,last_commit_date,number_of_commits_touching_file,current_status,old_path,new_path,category
MODIFIED / UPDATED,pre-commit,.husky/pre-commit,.husky,/Users/blackforge/workspace/bwe/repos/repo_clean/.husky,/Users/blackforge/workspace/bwe/repos/repo_clean/.husky/pre-commit,34a41418bca3b7ee8fabca8407fc43f8b161fb09,2026-08-12T12:07:13-07:00,34a41418bca3b7ee8fabca8407fc43f8b161fb09,2026-08-12T12:07:13-07:00,1,EXISTS,,,CONFIG
MODIFIED / UPDATED,.lintstagedrc.json,.lintstagedrc.json,.,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/.lintstagedrc.json,34a41418bca3b7ee8fabca8407fc43f8b161fb09,2026-08-12T12:07:13-07:00,34a41418bca3b7ee8fabca8407fc43f8b161fb09,2026-08-12T12:07:13-07:00,1,EXISTS,,,CONFIG
ADDED + UPDATED,81426-1453_DB_TRACKING.md,docs/81426-1453_DB_TRACKING.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/81426-1453_DB_TRACKING.md,fee9f4b4dae0bc793033728d087c18ba5fab9fc5,2026-08-18T00:03:39-07:00,08ba0cc3f346137ea9d26325b747ecf15382a81d,2026-08-18T00:10:50-07:00,2,EXISTS,,,CONTROL RECORD
MODIFIED / UPDATED,BLACK_NEXT_SESSION_START_HERE.md,docs/BLACK_NEXT_SESSION_START_HERE.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BLACK_NEXT_SESSION_START_HERE.md,5fa47a0e92f96241906a7d46d588295a9e6df23d,2026-08-26T06:33:10-07:00,5fa47a0e92f96241906a7d46d588295a9e6df23d,2026-08-26T06:33:10-07:00,1,EXISTS,,,DOCUMENTATION
MODIFIED / UPDATED,BLACK_OPEN_DEFECTS_AND_CLOSURE_QUEUE.md,docs/BLACK_OPEN_DEFECTS_AND_CLOSURE_QUEUE.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BLACK_OPEN_DEFECTS_AND_CLOSURE_QUEUE.md,b5e98c51931657e94a48b126b6afb8c8b672ad33,2026-08-10T09:46:46-07:00,d567218a895af81d65f45be7e16c24839815f586,2026-08-12T16:49:42-07:00,13,EXISTS,,,DOCUMENTATION
ADDED,BWE_13_SECOND_MACHINE_PARITY_PROCEDURE.md,docs/BWE_13_SECOND_MACHINE_PARITY_PROCEDURE.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_13_SECOND_MACHINE_PARITY_PROCEDURE.md,fc018486ec199de957519639b8b3d5beb7e9a76c,2026-08-25T16:45:58-07:00,fc018486ec199de957519639b8b3d5beb7e9a76c,2026-08-25T16:45:58-07:00,1,EXISTS,,,DOCUMENTATION
ADDED,BWE_COMPLETE_FILE_CHANGE_MANIFEST_LAST_16_DAYS.csv,docs/BWE_COMPLETE_FILE_CHANGE_MANIFEST_LAST_16_DAYS.csv,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_COMPLETE_FILE_CHANGE_MANIFEST_LAST_16_DAYS.csv,64107680ee67d06c3b4b7eb4717dfc33f3e1cde9,2026-08-27T07:54:37-07:00,64107680ee67d06c3b4b7eb4717dfc33f3e1cde9,2026-08-27T07:54:37-07:00,1,EXISTS,,,CONTROL RECORD
ADDED,BWE_COMPLETE_FILE_CHANGE_MANIFEST_LAST_16_DAYS.md,docs/BWE_COMPLETE_FILE_CHANGE_MANIFEST_LAST_16_DAYS.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_COMPLETE_FILE_CHANGE_MANIFEST_LAST_16_DAYS.md,64107680ee67d06c3b4b7eb4717dfc33f3e1cde9,2026-08-27T07:54:37-07:00,64107680ee67d06c3b4b7eb4717dfc33f3e1cde9,2026-08-27T07:54:37-07:00,1,EXISTS,,,CONTROL RECORD
MODIFIED / UPDATED,BWE_MASTER_TASK_LIST.md,docs/BWE_MASTER_TASK_LIST.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_MASTER_TASK_LIST.md,b5e98c51931657e94a48b126b6afb8c8b672ad33,2026-08-10T09:46:46-07:00,d567218a895af81d65f45be7e16c24839815f586,2026-08-12T16:49:42-07:00,13,EXISTS,,,DOCUMENTATION
ADDED + UPDATED,BWE_RUNNING_APPLICATION_FILE_CHANGES_2026-08-06_FORWARD.md,docs/BWE_RUNNING_APPLICATION_FILE_CHANGES_2026-08-06_FORWARD.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_RUNNING_APPLICATION_FILE_CHANGES_2026-08-06_FORWARD.md,1638a2533bda66627a51d3d67b51f6f11b208adf,2026-08-20T09:13:31-07:00,03afd4b7ba5a713d723301326c783259912f88f6,2026-08-26T16:12:12-07:00,11,EXISTS,,,CONTROL RECORD
