file_name,change_type,repository_relative_path,absolute_directory,absolute_full_path,first_commit,last_commit,number_of_commits,current_status,category,rename_sources
pre-commit,M,.husky/pre-commit,/Users/blackforge/workspace/bwe/repos/repo_clean/.husky,/Users/blackforge/workspace/bwe/repos/repo_clean/.husky/pre-commit,34a41418bca3b7ee8fabca8407fc43f8b161fb09,34a41418bca3b7ee8fabca8407fc43f8b161fb09,1,tracked-present,other,
.lintstagedrc.json,M,.lintstagedrc.json,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/.lintstagedrc.json,34a41418bca3b7ee8fabca8407fc43f8b161fb09,34a41418bca3b7ee8fabca8407fc43f8b161fb09,1,tracked-present,other,
81426-1453_DB_TRACKING.md,A|M,docs/81426-1453_DB_TRACKING.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/81426-1453_DB_TRACKING.md,fee9f4b4dae0bc793033728d087c18ba5fab9fc5,08ba0cc3f346137ea9d26325b747ecf15382a81d,2,tracked-present,documentation,
BLACK_NEXT_SESSION_START_HERE.md,M,docs/BLACK_NEXT_SESSION_START_HERE.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BLACK_NEXT_SESSION_START_HERE.md,5fa47a0e92f96241906a7d46d588295a9e6df23d,5fa47a0e92f96241906a7d46d588295a9e6df23d,1,tracked-present,documentation,
BLACK_OPEN_DEFECTS_AND_CLOSURE_QUEUE.md,M,docs/BLACK_OPEN_DEFECTS_AND_CLOSURE_QUEUE.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BLACK_OPEN_DEFECTS_AND_CLOSURE_QUEUE.md,88273e1b7af21a89805d8c78e4957045a43c4fd3,d567218a895af81d65f45be7e16c24839815f586,4,tracked-present,documentation,
BWE_13_SECOND_MACHINE_PARITY_PROCEDURE.md,A,docs/BWE_13_SECOND_MACHINE_PARITY_PROCEDURE.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_13_SECOND_MACHINE_PARITY_PROCEDURE.md,fc018486ec199de957519639b8b3d5beb7e9a76c,fc018486ec199de957519639b8b3d5beb7e9a76c,1,tracked-present,documentation,
BWE_MASTER_TASK_LIST.md,M,docs/BWE_MASTER_TASK_LIST.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_MASTER_TASK_LIST.md,88273e1b7af21a89805d8c78e4957045a43c4fd3,d567218a895af81d65f45be7e16c24839815f586,4,tracked-present,documentation,
BWE_RUNNING_APPLICATION_FILE_CHANGES_2026-08-06_FORWARD.md,A|M,docs/BWE_RUNNING_APPLICATION_FILE_CHANGES_2026-08-06_FORWARD.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_RUNNING_APPLICATION_FILE_CHANGES_2026-08-06_FORWARD.md,1638a2533bda66627a51d3d67b51f6f11b208adf,03afd4b7ba5a713d723301326c783259912f88f6,11,tracked-present,documentation,
BWE_WORLD_CLASS_DECISION_LOG.md,A|M,docs/BWE_WORLD_CLASS_DECISION_LOG.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_DECISION_LOG.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,1754ca6dbf6f0176948c3a2c7fd756a1d15200f4,3,tracked-present,documentation,
BWE_WORLD_CLASS_GAP_REGISTER.md,A|M,docs/BWE_WORLD_CLASS_GAP_REGISTER.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_GAP_REGISTER.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,fc018486ec199de957519639b8b3d5beb7e9a76c,4,tracked-present,documentation,
BWE_WORLD_CLASS_MEASUREMENT_HISTORY.md,A|M,docs/BWE_WORLD_CLASS_MEASUREMENT_HISTORY.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_MEASUREMENT_HISTORY.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,03afd4b7ba5a713d723301326c783259912f88f6,12,tracked-present,documentation,
BWE_WORLD_CLASS_PLATFORM_MASTER_PLAN.md,A|M,docs/BWE_WORLD_CLASS_PLATFORM_MASTER_PLAN.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_PLATFORM_MASTER_PLAN.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,1754ca6dbf6f0176948c3a2c7fd756a1d15200f4,3,tracked-present,documentation,
BWE_WORLD_CLASS_PLATFORM_SCORECARD.md,A|M,docs/BWE_WORLD_CLASS_PLATFORM_SCORECARD.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_PLATFORM_SCORECARD.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,03afd4b7ba5a713d723301326c783259912f88f6,8,tracked-present,documentation,
BWE_WORLD_CLASS_PROGRAM_BOARD.md,A|M,docs/BWE_WORLD_CLASS_PROGRAM_BOARD.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_PROGRAM_BOARD.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,a5dfc666af83783ce815d81121f55bb0f674c21b,7,tracked-present,documentation,
CURRENT_BUILD_ALL_WORKSTREAMS_STATUS.md,M,docs/CURRENT_BUILD_ALL_WORKSTREAMS_STATUS.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/CURRENT_BUILD_ALL_WORKSTREAMS_STATUS.md,88273e1b7af21a89805d8c78e4957045a43c4fd3,03afd4b7ba5a713d723301326c783259912f88f6,21,tracked-present,documentation,
PAMFA_SELLER_BUSINESS_OWNER_DECISION_PACKET_2026-08-26.md,A,docs/PAMFA_SELLER_BUSINESS_OWNER_DECISION_PACKET_2026-08-26.md,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/PAMFA_SELLER_BUSINESS_OWNER_DECISION_PACKET_2026-08-26.md,ac2405a0d246da5215ba2929275865e830a3e4e5,ac2405a0d246da5215ba2929275865e830a3e4e5,1,tracked-present,documentation,
BWE_COMPLETE_FILE_MANIFEST_CURRENT.csv,M,docs/recovery/BWE_COMPLETE_FILE_MANIFEST_CURRENT.csv,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/recovery,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/recovery/BWE_COMPLETE_FILE_MANIFEST_CURRENT.csv,d567218a895af81d65f45be7e16c24839815f586,d567218a895af81d65f45be7e16c24839815f586,1,tracked-present,documentation,
next.config.ts,M,next.config.ts,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/next.config.ts,5cec09e9d8bb77a286e6d9c4678a42406d01b512,5cec09e9d8bb77a286e6d9c4678a42406d01b512,1,tracked-present,config,
package-lock.json,M,package-lock.json,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/package-lock.json,a05a941e9ca4e5e43200ed8d8ad6f49e146c8d7f,b614b91112582f597ffcc9969633db263de16cd7,9,tracked-present,config,
package.json,M,package.json,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/package.json,a05a941e9ca4e5e43200ed8d8ad6f49e146c8d7f,b614b91112582f597ffcc9969633db263de16cd7,7,tracked-present,config,
footer.tsx,M,src/components/footer.tsx,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/footer.tsx,c996a1b4d5b02b3b9dcfa65c245d234462072065,a5dfc666af83783ce815d81121f55bb0f674c21b,2,tracked-present,component,
NavBar.tsx,M,src/components/NavBar.tsx,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/NavBar.tsx,a5dfc666af83783ce815d81121f55bb0f674c21b,a5dfc666af83783ce815d81121f55bb0f674c21b,1,tracked-present,component,
button.tsx,M,src/components/ui/button.tsx,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui/button.tsx,a5dfc666af83783ce815d81121f55bb0f674c21b,a5dfc666af83783ce815d81121f55bb0f674c21b,1,tracked-present,component,
card.tsx,M,src/components/ui/card.tsx,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui/card.tsx,a5dfc666af83783ce815d81121f55bb0f674c21b,a5dfc666af83783ce815d81121f55bb0f674c21b,1,tracked-present,component,
instrumentation.ts,A,src/instrumentation.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src,/Users/blackforge/workspace/bwe/repos/repo_clean/src/instrumentation.ts,5cec09e9d8bb77a286e6d9c4678a42406d01b512,5cec09e9d8bb77a286e6d9c4678a42406d01b512,1,tracked-present,application-source,
image-upload-security-tests.mjs,A,src/lib/__tests__/image-upload-security-tests.mjs,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__/image-upload-security-tests.mjs,ea474652aafd5583a99ca77ac00db8226c447e87,ea474652aafd5583a99ca77ac00db8226c447e87,1,tracked-present,library,
legacy-write-route-security-tests.mjs,A,src/lib/__tests__/legacy-write-route-security-tests.mjs,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__/legacy-write-route-security-tests.mjs,6cc5b8a639ffef3932ab03b87a0f3785d55f0af8,6cc5b8a639ffef3932ab03b87a0f3785d55f0af8,1,tracked-present,library,
sharp-runtime-defense-tests.mjs,A,src/lib/__tests__/sharp-runtime-defense-tests.mjs,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__/sharp-runtime-defense-tests.mjs,5cec09e9d8bb77a286e6d9c4678a42406d01b512,5cec09e9d8bb77a286e6d9c4678a42406d01b512,1,tracked-present,library,
businessSubmission.ts,M,src/lib/businessSubmission.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/businessSubmission.ts,c996a1b4d5b02b3b9dcfa65c245d234462072065,c996a1b4d5b02b3b9dcfa65c245d234462072065,1,tracked-present,library,
createProductCheckoutSession.ts,M,src/lib/checkout/createProductCheckoutSession.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/checkout,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/checkout/createProductCheckoutSession.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,665a1193d180d9c3c2bc79dda6bba8310d477416,1,tracked-present,library,
marketplaceBmev.ts,A,src/lib/economics/marketplaceBmev.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/economics,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/economics/marketplaceBmev.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,665a1193d180d9c3c2bc79dda6bba8310d477416,1,tracked-present,library,
firebase.ts,D,src/lib/firebase.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/firebase.ts,b614b91112582f597ffcc9969633db263de16cd7,b614b91112582f597ffcc9969633db263de16cd7,1,deleted-in-window,library,
founding-membership.ts,M,src/lib/founding-membership.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership.ts,c996a1b4d5b02b3b9dcfa65c245d234462072065,c996a1b4d5b02b3b9dcfa65c245d234462072065,1,tracked-present,library,
package1-tests.ts,M,src/lib/marketplace/__tests__/package1-tests.ts,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace/__tests__/package1-tests.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,665a1193d180d9c3c2bc79dda6bba8310d477416,1,tracked-present,library,
