_id,protected_or_non_protected,current_business_name,researched_business_name,current_address,researched_address,current_phone,researched_phone,current_website,researched_website,current_category_fields,proposed_category_fields,operating_status,duplicate_status,matched_existing_record_id,source_url_1,source_url_2,evidence_summary,confidence,current_exclusion_reason,fixes_required,approval_ready,manual_review_required,projected_public_search_eligibility,date_researched,protected_live_eligibility_before,business_name_missing_before,identified_missing_name,inferred_name_method,inferred_name_confidence,category_inference_confidence,exact_phone,exact_website_domain,normalized_address_key,alias_or_slug,raw_snapshot_hash,identity_evidence_count,strong_identity_evidence_count,has_officialish_source
"67c9ead1818d604b84e5a463","non-protected","Powder Beauty Los Angeles","Powder Beauty Los Angeles","452 S La Brea Ave, Los Angeles, CA 90036, Los Angeles, CA","452 S La Brea Ave, Los Angeles, CA 90036","13234529286","3234529286","","","{""category"":""Beauty"",""categories"":""Nail Salons, Waxing, Eyelash Service"",""display_categories"":""Beauty, Grooming and Personal Care""}","{""category"":""Beauty"",""categories"":""Nail Salons, Waxing, Eyelash Service"",""display_categories"":""Beauty, Grooming and Personal Care""}","approved","exact duplicate","67f73dec1d08a04e139a9a77","","","address:452 S La Brea Ave, Los Angeles, CA 90036 | phone:13234529286 | description:Nail Salons, Waxing, Eyelash Service | category:Beauty, Grooming and Personal Care | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_address","verified","duplicate","deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3234529286","","452 s la brea ave los angeles ca 90036|los angeles|ca","powder-beauty-los-angeles","7c8093e3e1b576d5eabe0c727d6c8b4f363ae0d2","3","2","false"
"67c9ead1818d604b84e5a47c","non-protected","Starring By Ted Gibson Los Angeles","Starring By Ted Gibson Los Angeles","211 South La Brea Ave, Los Angeles, CA 90036, Los Angeles, CA","211 South La Brea Ave, Los Angeles, CA 90036","13234132244","3234132244","","","{""category"":""Beauty"",""categories"":""Hair Salons"",""display_categories"":""Beauty, Grooming and Personal Care""}","{""category"":""Beauty"",""categories"":""Hair Salons"",""display_categories"":""Beauty, Grooming and Personal Care""}","approved","exact duplicate","67f73dec1d08a04e139a9a8f","","","address:211 South La Brea Ave, Los Angeles, CA 90036 | phone:13234132244 | description:Black-owned hair salon in Los Angeles offering cuts, color, styling, and consultations. | category:Beauty, Grooming and Personal Care | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_address","verified","duplicate","deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3234132244","","211 south la brea ave los angeles ca 90036|los angeles|ca","starring-by-ted-gibson-los-angeles","9d914ae91ee17dbb3ad5b0ae0b5bf57231207b1f","3","2","false"
"67c9ead1818d604b84e5a4ca","non-protected","Banadir Somali Restaurant Inglewood","Banadir Somali Restaurant Inglewood","137 W Arbor Vitae Unit C Inglewood, CA 90301, CA","137 W Arbor Vitae Unit C Inglewood, CA 90301","310-419-9900","3104199900","","","{""category"":""Restaurants"",""categories"":""Restaurants"",""display_categories"":""Restaurants""}","{""category"":""Restaurants"",""categories"":""Restaurants"",""display_categories"":""Restaurants""}","pending","exact duplicate","67f73dec1d08a04e139a9d8c","","","address:137 W Arbor Vitae Unit C Inglewood, CA 90301 | phone:310-419-9900 | category:Restaurants | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","add description; normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3104199900","","","banadir-somali-restaurant-inglewood","ea4945718555ee7269116a2bc93e6c15832e4f24","3","2","false"
"67c9ead1818d604b84e5a4df","non-protected","Bonnie Bs Smokin Pasadena 3","Bonnie Bs Smokin Pasadena 3","1280 N Lake Ave Pasadena, CA 91104, CA","1280 N Lake Ave Pasadena, CA 91104","626-794-0132","6267940132","","","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","pending","exact duplicate","67f73dec1d08a04e139a9d8b","","","address:1280 N Lake Ave Pasadena, CA 91104 | phone:626-794-0132 | category:Restaurants | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","add description; normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","6267940132","","","bonnie-bs-smokin-pasadena-3","eb5ad7def1416a6ec5a70612d2065d5e885d5737","3","2","false"
"67c9ead1818d604b84e5a4f9","non-protected","Cafe Ruisseau Los Angeles","Cafe Ruisseau Los Angeles","12150 Millennium Dr Los Angeles, CA 90094, CA","12150 Millennium Dr Los Angeles, CA 90094","323-561-0223","3235610223","","","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","approved","exact duplicate","67f73dec1d08a04e139a9da3","","","address:12150 Millennium Dr Los Angeles, CA 90094 | phone:323-561-0223 | description:Café Ruisseau, 12150 Millennium Drive, Los Angeles, (323) 561-0223, | category:Restaurants | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3235610223","","","cafe-ruisseau-los-angeles","73a5732f510b1cf312279b007b6924267a265da1","3","2","false"
"67c9ead1818d604b84e5a573","non-protected","Jrs Barbeque Culver City","Jrs Barbeque Culver City","3055 La Cienega Blvd Culver City, CA 90232, CA","3055 La Cienega Blvd Culver City, CA 90232","310-837-6838","3108376838","","","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","pending","exact duplicate","67f73dec1d08a04e139a9e19","","","address:3055 La Cienega Blvd Culver City, CA 90232 | phone:310-837-6838 | category:Restaurants | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","add description; normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3108376838","","","jrs-barbeque-culver-city","678a2fee75fe690d53dcaf2536eaf97626e6209d","3","2","false"
"67c9ead1818d604b84e5a587","non-protected","Kutula By Africana Los Angeles","Kutula By Africana Los Angeles","4438 W Slauson Ave Los Angeles, CA 90043, CA","4438 W Slauson Ave Los Angeles, CA 90043","323-294-8151","3232948151","","","{""category"":null,""categories"":""Shopping"",""display_categories"":""Shopping""}","{""category"":null,""categories"":""Shopping"",""display_categories"":""Shopping and Retail""}","approved","exact duplicate","67f73dec1d08a04e139a9e2e","","","address:4438 W Slauson Ave Los Angeles, CA 90043 | phone:323-294-8151 | description:Specializing in modern African-inspired fashions and run by second-generation owners Kay and Bo Anuluoha, whose handiwork appeared both on-screen and at the red | category:Shopping | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3232948151","","","kutula-by-africana-los-angeles","05b485d53643b41007de1abffc3a98029bfc3e59","3","2","false"
"67c9ead1818d604b84e5a58a","non-protected","","","7952 West 3rd Street, Los Angeles, California 90048, CALIFORNIA","7952 West 3rd Street, Los Angeles, California 90048","","","","","{""category"":null,""categories"":""Shopping"",""display_categories"":""Shopping""}","{""category"":null,""categories"":""Shopping"",""display_categories"":""Shopping and Retail""}","pending","none","","","","address:7952 West 3rd Street, Los Angeles, California 90048 | description:jewelry, body jewelry | category:Shopping","unresolved","intentionally pending","normalize address fields; generate alias/slug","false","true","false","2026-06-21","false","true","false","","","high","","","","","994bc0f1f6882f65d1a3c88d4dca9969f1466fac","1","1","false"
"67c9ead1818d604b84e5a5a6","non-protected","The Little Red Hen Coffee Shop Altadena","The Little Red Hen Coffee Shop Altadena","2697 Fair Oaks Ave Altadena, CA 91001, CA","2697 Fair Oaks Ave Altadena, CA 91001","626-791-1614","6267911614","","","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","pending","exact duplicate","67f73dec1d08a04e139a9e44","","","address:2697 Fair Oaks Ave Altadena, CA 91001 | phone:626-791-1614 | category:Restaurants | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","add description; normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","6267911614","","","the-little-red-hen-coffee-shop-altadena","d9fd8e461587e0fd00c1b26cb73d4b2458da4daa","3","2","false"
"67c9ead1818d604b84e5a5ab","non-protected","Mdears Bakery And Bistro Los Angeles","Mdears Bakery And Bistro Los Angeles","7717 S Western Ave Los Angeles, CA 90047, CA","7717 S Western Ave Los Angeles, CA 90047","323-759-2020","3237592020","","","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","{""category"":null,""categories"":""Restaurants"",""display_categories"":""Restaurants""}","pending","exact duplicate","67f73dec1d08a04e139a9e4f","","","address:7717 S Western Ave Los Angeles, CA 90047 | phone:323-759-2020 | category:Restaurants | name_inference:existing | duplicate:exact duplicate:exact_phone+exact_alias_or_slug","verified","duplicate","add description; normalize address fields; deduplicate before approval","false","false","false","2026-06-21","false","false","false","existing","verified","high","3237592020","","","mdears-bakery-and-bistro-los-angeles","5dcc333cff8e095983364cfed8ad6f0f8cfba4b8","3","2","false"
