_id,business_name,group,current_category,current_categories,current_display_categories,proposed_display_categories,source_field,source_value,exact_mapping_rule,confidence,public_search_fields_before,projected_public_search_eligibility_after,manual_review_required,why_public_or_not
"67f73dec1d08a04e139a9a78","The Talonted Vixen Atelier","protected","","Nail Technicians","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""the-talonted-vixen-atelier"",""slug"":""the-talonted-vixen-atelier"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""The Talonted Vixen Atelier"",""address"":""15125 Ventura Blvd, Ste 10, Tarzana, CA 91403"",""city"":""Tarzana"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a79","Daelycyous Nail Designs","protected","","Nail Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""daelycyous-nail-designs"",""slug"":""daelycyous-nail-designs"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Daelycyous Nail Designs"",""address"":""841 W 9th St, Salon Bellezza, San Pedro, CA 90731"",""city"":""San Pedro"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a7b","Pure Pleasure Salon","protected","","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""pure-pleasure-salon"",""slug"":""pure-pleasure-salon"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Pure Pleasure Salon"",""address"":""2149 W Manchester Ave, Los Angeles, CA 90047"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a7c","Ms Glen's Therapeutic Manicures & Pedicures","protected","","Nail Salons, Massage","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""ms-glen-s-therapeutic-manicures-pedicures"",""slug"":""ms-glen-s-therapeutic-manicures-pedicures"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Ms Glen's Therapeutic Manicures & Pedicures"",""address"":""6320 Howard B. Drollinger Way, Ste 206, Westchester, CA 90045"",""city"":""Westchester"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a7f","Slay My Set","protected","","Nail Technicians","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""slay-my-set"",""slug"":""slay-my-set"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Slay My Set"",""address"":""Pasadena, CA 90037"",""city"":""Pasadena"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a81","L.A. Hair Palace","protected","","Hair Stylists, Hair Extensions","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""l-a-hair-palace"",""slug"":""l-a-hair-palace"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""L.A. Hair Palace"",""address"":""5439 Cherry Ave, Long Beach, CA 90805"",""city"":""Long Beach"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a88","Hair Queen LA","protected","","Wigs, Hair Extensions","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""hair-queen-la"",""slug"":""hair-queen-la"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Hair Queen LA"",""address"":""5363 Wilshire Blvd, Los Angeles, CA 90036"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a8a","Sunset City Nails","protected","","Nail Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""sunset-city-nails"",""slug"":""sunset-city-nails"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Sunset City Nails"",""address"":""12107 Ventura Blvd, Studio City, CA 91604"",""city"":""Studio City"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a8e","Beautiful Hair","protected","","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""beautiful-hair"",""slug"":""beautiful-hair"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Beautiful Hair"",""address"":""1051 Glendon Ave, Ste 108, Los Angeles, CA 90024"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a94","A Curly Walk Studio","protected","","Hair Stylists","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""a-curly-walk-studio"",""slug"":""a-curly-walk-studio"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""A Curly Walk Studio"",""address"":""306 Stonewood St, Studio 30, Stonewood Center, Downey, CA 90241"",""city"":""Downey"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
