_id,business_name,group,current_category,current_categories,current_display_categories,proposed_display_categories,source_field,source_value,exact_mapping_rule,confidence,public_search_fields_before,projected_public_search_eligibility_after,manual_review_required,why_public_or_not
"67c9ead1818d604b84e5a463","Powder Beauty Los Angeles","remaining","Beauty","Nail Salons, Waxing, Eyelash Service","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""powder-beauty-los-angeles"",""slug"":""powder-beauty-los-angeles-los-angeles-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Powder Beauty Los Angeles"",""address"":""452 S La Brea Ave, Los Angeles, CA 90036"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a47c","Starring By Ted Gibson Los Angeles","remaining","Beauty","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""starring-by-ted-gibson-los-angeles"",""slug"":""starring-by-ted-gibson-los-angeles-los-angeles-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Starring By Ted Gibson Los Angeles"",""address"":""211 South La Brea Ave, Los Angeles, CA 90036"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a4ca","Banadir Somali Restaurant Inglewood","remaining","Restaurants","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""banadir-somali-restaurant-inglewood"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Banadir Somali Restaurant Inglewood"",""address"":""137 W Arbor Vitae Unit C Inglewood, CA 90301"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4df","Bonnie Bs Smokin Pasadena 3","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""bonnie-bs-smokin-pasadena-3"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Bonnie Bs Smokin Pasadena 3"",""address"":""1280 N Lake Ave Pasadena, CA 91104"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4f9","Cafe Ruisseau Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""cafe-ruisseau-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Cafe Ruisseau Los Angeles"",""address"":""12150 Millennium Dr Los Angeles, CA 90094"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a573","Jrs Barbeque Culver City","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""jrs-barbeque-culver-city"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Jrs Barbeque Culver City"",""address"":""3055 La Cienega Blvd Culver City, CA 90232"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a587","Kutula By Africana Los Angeles","remaining","","Shopping","Shopping","","","","","","{""status"":""approved"",""approved"":null,""alias"":""kutula-by-africana-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Kutula By Africana Los Angeles"",""address"":""4438 W Slauson Ave Los Angeles, CA 90043"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a58a","","remaining","","Shopping","Shopping","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":44,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":""7952 West 3rd Street, Los Angeles, California 90048"",""city"":"""",""state"":""CALIFORNIA""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a5a6","The Little Red Hen Coffee Shop Altadena","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""the-little-red-hen-coffee-shop-altadena"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""The Little Red Hen Coffee Shop Altadena"",""address"":""2697 Fair Oaks Ave Altadena, CA 91001"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5ab","Mdears Bakery And Bistro Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""mdears-bakery-and-bistro-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Mdears Bakery And Bistro Los Angeles"",""address"":""7717 S Western Ave Los Angeles, CA 90047"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
